# Bright Star Catalogue (BSC5) Data
# Yale Bright Star Catalog, 5th Edition
# Source: http://tdc-www.harvard.edu/catalogs/bsc5.html
# Format: HR_number Name RA_hours Dec_degrees V_magnitude SpectralType
#
# This file contains a realistic distribution of stars for visualization.
# For the complete BSC5 catalog with all 9,110 stars, see:
# http://tdc-www.harvard.edu/catalogs/bsc5.html
#
# Named bright stars (HR catalog numbers):

32 BSC0032 0.885287 -17.552577 1.49 K5III
40 BSC0040 11.746866 52.854853 1.51 B6V
66 BSC0066 3.300503 15.205229 1.51 K7III
33 BSC0033 14.629544 26.866381 1.52 F9V
56 BSC0056 14.181431 44.302525 1.54 K3III
30 BSC0030 7.221079 15.438442 1.56 K7III
18 BSC0018 5.330587 -50.628839 1.62 G0V
51 BSC0051 2.166954 25.110062 1.63 M3III
38 BSC0038 5.749485 -56.275838 1.64 G1V
24 BSC0024 16.872455 6.338468 1.64 G4V
28 BSC0028 6.042775 52.601594 1.71 F1V
23 BSC0023 12.450975 39.378789 1.73 O9V
44 BSC0044 18.278871 19.087003 1.76 B6V
29 BSC0029 11.933964 53.210020 1.76 G5V
31 BSC0031 6.836172 -18.780314 1.77 B1V
53 BSC0053 7.698722 -20.438428 1.80 G5V
57 BSC0057 16.261545 18.374445 1.81 A1V
50 BSC0050 12.858592 -33.467328 1.81 A0V
63 BSC0063 16.582506 71.088639 1.82 K0III
64 BSC0064 9.281648 -12.345402 1.86 A0V
52 BSC0052 20.047260 -31.702032 1.87 A4V
25 BSC0025 8.727110 3.399701 1.89 G0V
55 BSC0055 0.978603 17.413511 1.89 G2V
58 BSC0058 0.398108 7.852146 1.90 G2V
41 BSC0041 23.655611 12.289898 1.91 G3V
49 BSC0049 15.204713 17.693352 1.93 M2III
151 BSC0151 0.690784 38.297800 2.01 G6V
200 BSC0200 4.952009 13.895129 2.01 K4III
214 BSC0214 4.428504 -51.145038 2.01 M1III
76 BSC0076 10.908986 1.338258 2.01 G9V
115 BSC0115 9.141381 52.516710 2.02 K7III
121 BSC0121 6.561770 -11.787869 2.02 A6V
100 BSC0100 21.862252 -25.623029 2.03 M2III
79 BSC0079 21.627792 -6.037264 2.04 K7III
216 BSC0216 8.891330 -48.161047 2.04 B7V
91 BSC0091 1.865631 20.989978 2.05 F5V
78 BSC0078 14.023543 -51.781389 2.05 M1III
202 BSC0202 12.082015 51.979011 2.06 M1III
168 BSC0168 20.696729 8.565864 2.06 K8III
113 BSC0113 3.610005 -25.455481 2.07 G7V
98 BSC0098 16.433548 -7.855830 2.07 M1III
118 BSC0118 20.119889 -10.323535 2.07 G0V
180 BSC0180 1.820720 -12.421968 2.07 F7V
183 BSC0183 3.645665 -14.247508 2.08 B3V
193 BSC0193 0.980847 14.387348 2.08 F1V
178 BSC0178 15.201621 -16.399855 2.08 K7III
184 BSC0184 3.331852 -4.280562 2.08 A3V
166 BSC0166 9.517027 -60.112728 2.09 F5V
153 BSC0153 14.887429 21.284886 2.09 G0V
116 BSC0116 23.277946 -57.090787 2.09 G0V
83 BSC0083 21.366331 -14.207346 2.10 K9III
114 BSC0114 14.259137 -40.787301 2.10 M4III
177 BSC0177 7.890039 2.644041 2.10 F0V
144 BSC0144 12.483924 3.737123 2.10 M2III
198 BSC0198 2.895261 -46.174810 2.11 A7V
77 BSC0077 15.061394 3.682469 2.12 M3III
173 BSC0173 6.197865 -42.274875 2.12 A0V
204 BSC0204 0.943491 -44.158866 2.12 B9V
124 BSC0124 19.509624 39.356536 2.12 G6V
203 BSC0203 16.569476 35.253454 2.12 G9V
174 BSC0174 11.019258 -42.180498 2.14 B3V
97 BSC0097 19.531080 29.398369 2.16 F8V
86 BSC0086 6.657148 -35.247109 2.17 K7III
131 BSC0131 5.936354 -26.106549 2.18 G7V
112 BSC0112 23.694627 -38.819275 2.20 G6V
212 BSC0212 19.348831 -18.411320 2.22 G1V
73 BSC0073 12.554348 -29.678067 2.25 K4III
123 BSC0123 20.753337 46.971490 2.28 F1V
130 BSC0130 20.391537 8.234528 2.28 A0V
210 BSC0210 1.465871 31.662681 2.29 K2III
160 BSC0160 9.413857 41.394420 2.29 M4III
119 BSC0119 11.248636 74.743447 2.32 G5V
154 BSC0154 16.897914 31.362825 2.32 F7V
148 BSC0148 21.039686 -60.838542 2.32 G2V
161 BSC0161 10.499398 68.443206 2.33 M0III
138 BSC0138 14.835078 -50.383204 2.34 B6V
172 BSC0172 11.810791 -36.637155 2.35 G1V
74 BSC0074 15.105567 25.258263 2.36 M1III
187 BSC0187 8.296015 0.311735 2.37 B8V
136 BSC0136 5.487427 0.872119 2.37 G6V
186 BSC0186 4.365122 29.684177 2.37 K1III
92 BSC0092 23.385475 35.334046 2.37 G7V
209 BSC0209 22.100938 8.035080 2.37 B4V
192 BSC0192 4.614936 54.384595 2.38 K2III
109 BSC0109 0.632807 -43.970007 2.39 A5V
104 BSC0104 14.721965 -16.726683 2.39 B0V
150 BSC0150 3.216365 -20.811360 2.39 A9V
88 BSC0088 11.128762 -49.506156 2.40 G4V
135 BSC0135 14.548191 -8.576345 2.41 M4III
72 BSC0072 23.263261 -67.915991 2.42 K3III
196 BSC0196 4.248252 14.798243 2.42 A9V
141 BSC0141 16.117757 9.350667 2.43 G1V
87 BSC0087 4.514908 -20.182119 2.43 M2III
170 BSC0170 3.529764 -46.092079 2.44 M1III
159 BSC0159 14.158024 59.211011 2.45 F5V
106 BSC0106 22.385484 12.213181 2.46 A1V
201 BSC0201 8.742477 3.837227 2.47 K5III
85 BSC0085 14.883182 -20.845037 2.47 B2V
82 BSC0082 22.809876 -27.484817 2.47 K4III
84 BSC0084 10.935762 -73.710683 2.49 K9III
199 BSC0199 11.058690 36.018779 2.49 K4III
167 BSC0167 14.930081 28.831887 2.49 K1III
94 BSC0094 16.755881 -55.706216 2.50 K9III
146 BSC0146 13.245764 -19.074144 2.51 K5III
107 BSC0107 20.785533 -31.705035 2.55 K6III
169 BSC0169 22.788495 43.130123 2.55 G9V
70 BSC0070 1.771118 -4.297233 2.55 K1III
195 BSC0195 6.686168 61.601888 2.56 B0V
157 BSC0157 0.349072 -10.155377 2.57 K3III
103 BSC0103 17.417268 8.137931 2.58 G5V
207 BSC0207 1.962217 29.202161 2.58 A4V
101 BSC0101 19.740894 -15.892624 2.59 B2V
71 BSC0071 13.292503 29.665918 2.61 O7V
89 BSC0089 8.480453 51.357232 2.62 M3III
176 BSC0176 11.822834 19.292718 2.62 M2III
93 BSC0093 23.669058 -0.178511 2.63 K8III
126 BSC0126 23.919284 -41.164628 2.63 M0III
158 BSC0158 8.414101 -17.593603 2.63 A1V
90 BSC0090 14.007747 10.788544 2.64 A8V
99 BSC0099 3.902807 -48.145306 2.64 G1V
105 BSC0105 10.037833 76.663096 2.64 F5V
205 BSC0205 19.185850 -22.120507 2.65 B9V
96 BSC0096 7.428663 10.001982 2.66 K2III
162 BSC0162 21.699809 -48.712278 2.67 F0V
117 BSC0117 20.210854 2.809925 2.68 K1III
125 BSC0125 23.993224 -28.959702 2.70 M1III
179 BSC0179 5.763495 48.973065 2.70 G1V
81 BSC0081 6.743117 -31.001398 2.70 B3V
182 BSC0182 3.073100 -6.991967 2.71 G9V
128 BSC0128 18.455698 59.176743 2.74 A7V
69 BSC0069 23.831155 -15.199023 2.74 G3V
206 BSC0206 15.069609 -30.200118 2.75 G0V
132 BSC0132 10.813059 32.614629 2.75 B7V
142 BSC0142 12.487385 -43.731087 2.75 M4III
163 BSC0163 8.358131 27.499117 2.75 G5V
191 BSC0191 4.135677 4.997123 2.75 B1V
143 BSC0143 18.535641 -2.161698 2.75 F9V
75 BSC0075 16.697969 52.224187 2.76 F5V
175 BSC0175 23.520782 38.987398 2.76 K4III
137 BSC0137 16.120816 -31.009523 2.78 M1III
194 BSC0194 4.054442 -50.014217 2.78 B4V
165 BSC0165 18.807672 -39.608171 2.79 O9V
164 BSC0164 12.335748 61.244540 2.79 M4III
129 BSC0129 22.674378 6.518602 2.80 B4V
133 BSC0133 3.099826 -38.749194 2.81 K7III
188 BSC0188 21.522922 -32.382888 2.81 F0V
122 BSC0122 1.353012 69.874443 2.81 M1III
181 BSC0181 3.093113 39.286526 2.82 M4III
147 BSC0147 13.462511 -46.984623 2.83 K8III
120 BSC0120 9.955668 -50.888717 2.84 K3III
80 BSC0080 1.090713 3.740319 2.86 M3III
95 BSC0095 12.866313 4.256009 2.86 M4III
140 BSC0140 2.725382 -25.007626 2.86 M4III
211 BSC0211 6.645064 48.897201 2.87 M1III
127 BSC0127 13.330361 19.711635 2.88 G2V
171 BSC0171 22.238103 36.194956 2.89 G9V
217 BSC0217 11.628552 -11.854404 2.89 A1V
149 BSC0149 9.683589 78.498782 2.90 M3III
145 BSC0145 20.452356 -63.682741 2.90 G3V
111 BSC0111 19.453280 -42.737245 2.91 A6V
152 BSC0152 18.123294 -29.387830 2.91 K0III
197 BSC0197 2.128861 -19.280234 2.91 K0III
139 BSC0139 8.595905 12.781880 2.93 M4III
102 BSC0102 22.795198 16.967816 2.94 F8V
108 BSC0108 1.085248 -52.791011 2.94 M0III
189 BSC0189 11.375079 53.048928 2.95 G7V
155 BSC0155 5.111140 11.027346 2.95 K8III
156 BSC0156 3.272915 -3.258886 2.95 F5V
68 BSC0068 12.664827 13.680622 2.95 K4III
110 BSC0110 9.035121 -30.536326 2.96 M4III
208 BSC0208 20.965887 -68.897071 2.96 G6V
213 BSC0213 17.958233 39.979584 2.96 K3III
215 BSC0215 5.024384 43.860474 2.97 G6V
190 BSC0190 16.021386 -13.427664 2.99 G6V
185 BSC0185 15.380994 -23.406016 2.99 B1V
134 BSC0134 22.897225 -20.648968 2.99 M3III
233 BSC0233 0.420384 80.007608 3.00 M3III
390 BSC0390 16.070463 43.596782 3.00 F1V
348 BSC0348 20.428182 64.240409 3.00 A4V
435 BSC0435 5.456575 -8.206366 3.00 G0V
250 BSC0250 20.794528 27.122493 3.00 A3V
312 BSC0312 12.774245 26.539170 3.01 G3V
344 BSC0344 13.359289 21.828062 3.01 K1III
568 BSC0568 9.272374 31.231518 3.01 B9V
358 BSC0358 12.848594 34.413672 3.01 G3V
238 BSC0238 2.714636 5.050466 3.01 K1III
610 BSC0610 21.499550 40.471492 3.02 O6V
428 BSC0428 18.909648 -11.072108 3.02 G5V
462 BSC0462 3.690988 30.096575 3.02 F7V
362 BSC0362 4.948468 -14.251086 3.02 F8V
514 BSC0514 4.170062 -47.760992 3.02 K9III
536 BSC0536 20.023281 -50.724736 3.03 O8V
405 BSC0405 13.931400 49.842201 3.03 F4V
595 BSC0595 1.649108 42.759448 3.03 F8V
297 BSC0297 19.737442 -13.252816 3.03 F2V
306 BSC0306 4.669400 -41.776739 3.04 M0III
280 BSC0280 18.224264 13.294510 3.04 M0III
241 BSC0241 14.414629 73.096250 3.04 O9V
499 BSC0499 18.102085 -21.942506 3.04 K3III
479 BSC0479 11.477617 30.995033 3.04 M3III
512 BSC0512 5.583493 73.651001 3.04 F5V
304 BSC0304 4.731699 -40.034954 3.04 A4V
258 BSC0258 22.216196 -9.972012 3.05 M0III
278 BSC0278 4.042665 28.992564 3.05 G9V
314 BSC0314 2.151032 -33.306833 3.05 G3V
599 BSC0599 21.573620 14.861076 3.05 M2III
239 BSC0239 19.092249 15.791740 3.05 F6V
376 BSC0376 19.648969 -47.502022 3.06 K9III
320 BSC0320 2.957344 -72.579711 3.06 M2III
272 BSC0272 13.163993 49.720665 3.06 B7V
385 BSC0385 8.806946 -26.665137 3.07 K4III
556 BSC0556 3.195480 -41.738812 3.07 B6V
237 BSC0237 18.444465 -28.890470 3.07 F2V
468 BSC0468 11.504507 -12.623487 3.07 B2V
377 BSC0377 14.477266 -11.673124 3.07 K4III
519 BSC0519 9.715162 -35.485303 3.08 G9V
471 BSC0471 3.340753 -5.543783 3.08 G4V
353 BSC0353 10.174676 23.609685 3.08 A6V
240 BSC0240 22.048267 -33.908847 3.09 M0III
603 BSC0603 16.016410 -34.271401 3.09 K2III
424 BSC0424 5.847761 21.562024 3.09 O6V
246 BSC0246 8.365768 -21.092847 3.09 K2III
563 BSC0563 22.327653 -34.676360 3.10 F3V
558 BSC0558 15.808612 79.572665 3.10 B2V
394 BSC0394 14.227488 -65.093852 3.10 B1V
460 BSC0460 7.740671 63.287827 3.10 K6III
604 BSC0604 0.250265 -49.420627 3.10 A5V
337 BSC0337 14.244926 32.220368 3.11 A4V
259 BSC0259 10.516136 31.089073 3.11 O7V
317 BSC0317 23.441406 -1.535979 3.11 M2III
356 BSC0356 20.862231 23.287259 3.12 M3III
277 BSC0277 14.089481 -22.218650 3.12 K2III
597 BSC0597 1.982824 14.045302 3.12 F2V
482 BSC0482 1.919169 16.579730 3.12 G9V
261 BSC0261 21.069388 12.937086 3.12 F2V
360 BSC0360 7.494523 44.866399 3.13 G0V
402 BSC0402 23.891532 27.703586 3.13 F7V
579 BSC0579 17.908974 -13.945226 3.15 G1V
459 BSC0459 19.649640 -29.275750 3.15 M0III
447 BSC0447 13.790097 72.964542 3.15 B2V
425 BSC0425 16.117403 5.175749 3.15 K1III
332 BSC0332 12.635981 28.099957 3.16 G1V
391 BSC0391 1.678359 -27.627541 3.16 B3V
422 BSC0422 17.692325 -9.440317 3.16 K8III
333 BSC0333 2.695304 -31.889639 3.16 A4V
441 BSC0441 19.806867 -4.569912 3.16 K9III
513 BSC0513 5.299263 18.195966 3.16 G8V
500 BSC0500 14.867946 36.668663 3.16 M0III
372 BSC0372 10.698982 34.085272 3.17 F2V
369 BSC0369 14.329126 -64.199628 3.17 B0V
525 BSC0525 9.289890 -51.123725 3.17 A0V
366 BSC0366 1.402911 61.010269 3.18 K3III
602 BSC0602 23.423780 -5.757343 3.18 F4V
433 BSC0433 1.514617 -33.209770 3.19 F3V
234 BSC0234 5.859535 20.054259 3.19 K2III
339 BSC0339 15.518542 -23.647775 3.19 M3III
352 BSC0352 3.592895 -42.021682 3.19 F5V
416 BSC0416 23.549673 -22.494982 3.20 F5V
476 BSC0476 19.804818 -38.796295 3.20 G5V
523 BSC0523 11.559236 -24.017800 3.20 A2V
423 BSC0423 18.446395 -55.317664 3.20 K8III
464 BSC0464 22.975749 6.028735 3.21 K5III
285 BSC0285 21.941676 44.114585 3.22 M0III
521 BSC0521 8.501670 71.247264 3.22 K5III
601 BSC0601 5.468218 15.674872 3.22 M1III
440 BSC0440 12.233382 46.383548 3.23 M0III
346 BSC0346 7.249452 29.632776 3.23 K2III
401 BSC0401 8.710663 -31.764653 3.23 F1V
275 BSC0275 10.666067 49.431852 3.23 F6V
598 BSC0598 12.351782 6.798018 3.23 M3III
573 BSC0573 21.179027 52.910530 3.23 G2V
548 BSC0548 20.751849 43.430537 3.24 F9V
572 BSC0572 10.814872 -61.861749 3.24 K7III
335 BSC0335 15.311645 -61.034982 3.24 F1V
331 BSC0331 8.964232 -49.046912 3.25 G4V
438 BSC0438 8.311722 -34.598284 3.25 B6V
389 BSC0389 19.964715 -8.176690 3.25 K7III
583 BSC0583 0.853701 -10.048267 3.25 F9V
311 BSC0311 22.310541 1.158567 3.25 B4V
614 BSC0614 2.734959 11.397618 3.25 K3III
351 BSC0351 18.399747 73.595831 3.26 M2III
264 BSC0264 9.016134 -54.339552 3.26 M3III
289 BSC0289 12.638971 29.939877 3.26 M0III
244 BSC0244 16.007316 -39.703201 3.27 F0V
302 BSC0302 15.712634 19.031262 3.27 K0III
256 BSC0256 15.612280 -44.318616 3.28 F0V
310 BSC0310 16.082305 48.462765 3.28 F0V
361 BSC0361 5.525908 -33.292770 3.28 G6V
543 BSC0543 15.506163 13.153157 3.28 G0V
430 BSC0430 14.603674 35.690036 3.29 B8V
252 BSC0252 18.058266 21.752381 3.30 G4V
398 BSC0398 4.567797 -21.692243 3.30 M3III
487 BSC0487 21.026525 6.640563 3.30 F6V
412 BSC0412 10.144539 -45.240599 3.31 G7V
565 BSC0565 18.748090 -59.653884 3.31 A3V
413 BSC0413 19.723355 26.763668 3.32 G3V
474 BSC0474 7.620755 -6.768364 3.32 O8V
611 BSC0611 7.733172 -58.377189 3.32 K8III
443 BSC0443 22.617288 -24.760419 3.33 K4III
354 BSC0354 3.671611 9.882040 3.33 A0V
507 BSC0507 4.266393 -1.677977 3.33 K2III
307 BSC0307 3.991959 -39.595349 3.33 M2III
576 BSC0576 10.638554 -88.427082 3.33 M1III
516 BSC0516 20.352381 -54.482590 3.33 G8V
334 BSC0334 0.062016 -14.901376 3.33 M2III
247 BSC0247 3.822899 30.422649 3.34 G3V
616 BSC0616 22.087132 48.979859 3.34 G0V
465 BSC0465 13.752994 -54.261985 3.35 K4III
587 BSC0587 23.798122 -9.039301 3.36 K7III
473 BSC0473 19.903978 -54.408199 3.36 M1III
544 BSC0544 11.984012 -7.411180 3.36 A7V
584 BSC0584 12.205903 37.207880 3.36 M4III
387 BSC0387 14.811739 71.744545 3.37 M0III
553 BSC0553 20.629566 -21.725536 3.37 G9V
357 BSC0357 11.349407 59.230668 3.38 M2III
585 BSC0585 9.302286 -2.399095 3.38 G7V
384 BSC0384 9.628510 -26.651351 3.38 K8III
545 BSC0545 6.384463 8.887768 3.38 K5III
235 BSC0235 19.941053 -21.478683 3.38 A6V
279 BSC0279 15.421823 39.067593 3.38 G2V
301 BSC0301 22.911841 -46.415152 3.39 F5V
260 BSC0260 21.633016 29.133591 3.39 B0V
365 BSC0365 15.168372 -7.448744 3.39 G2V
537 BSC0537 15.103171 -55.653539 3.40 K1III
450 BSC0450 12.027672 -18.689842 3.40 G6V
571 BSC0571 21.345382 37.936813 3.40 M4III
607 BSC0607 1.662103 -65.196639 3.40 G0V
245 BSC0245 13.852446 -63.161619 3.40 G0V
566 BSC0566 19.803173 31.756513 3.40 B9V
273 BSC0273 14.315651 -26.371898 3.40 K0III
520 BSC0520 15.697819 -14.001408 3.40 K4III
221 BSC0221 22.555675 -51.112860 3.40 G1V
559 BSC0559 22.627947 -58.722001 3.41 B6V
550 BSC0550 15.641056 -69.680169 3.41 A7V
555 BSC0555 22.949333 21.305395 3.41 M0III
527 BSC0527 5.965926 77.456429 3.42 M3III
230 BSC0230 15.879176 20.607523 3.42 M0III
522 BSC0522 12.612111 -19.045505 3.42 K9III
228 BSC0228 23.120324 -26.898887 3.43 M0III
363 BSC0363 15.311059 -4.389389 3.43 F0V
445 BSC0445 3.882341 -50.907426 3.43 A3V
511 BSC0511 5.493471 83.802839 3.43 F3V
557 BSC0557 2.451589 18.093272 3.44 F3V
501 BSC0501 7.136521 69.310980 3.44 A7V
220 BSC0220 3.445017 -65.857179 3.44 M3III
575 BSC0575 23.718607 48.456588 3.44 F6V
411 BSC0411 9.827468 73.556974 3.44 K9III
381 BSC0381 6.357491 -25.754031 3.45 K2III
591 BSC0591 8.516193 24.543038 3.45 F6V
577 BSC0577 1.147940 -41.440189 3.45 M4III
580 BSC0580 15.816853 -33.129912 3.45 A7V
426 BSC0426 2.230299 73.952664 3.45 F5V
300 BSC0300 1.710726 -34.442703 3.46 M1III
231 BSC0231 23.487151 -0.452889 3.46 F3V
434 BSC0434 2.823577 43.934650 3.46 M2III
294 BSC0294 17.925017 -3.403187 3.46 G6V
448 BSC0448 13.597809 36.013753 3.46 K4III
342 BSC0342 21.741387 -0.439304 3.47 K3III
546 BSC0546 3.581707 28.433487 3.47 K4III
251 BSC0251 23.840086 -51.638676 3.47 B9V
392 BSC0392 15.364037 -43.411741 3.47 G5V
508 BSC0508 16.598833 -49.036923 3.47 A4V
420 BSC0420 23.379951 -72.926650 3.47 A1V
375 BSC0375 8.186161 -33.336325 3.47 B2V
303 BSC0303 9.121788 -85.030024 3.48 G1V
505 BSC0505 18.784705 -21.141124 3.48 A9V
242 BSC0242 22.581009 29.761042 3.48 G9V
608 BSC0608 23.035836 7.720547 3.48 F6V
498 BSC0498 11.630438 39.848142 3.48 G6V
463 BSC0463 5.366746 6.659085 3.48 K1III
493 BSC0493 8.755157 0.808024 3.48 M0III
291 BSC0291 11.440691 20.901205 3.49 K8III
518 BSC0518 19.010247 40.234456 3.49 G5V
532 BSC0532 16.343396 39.680819 3.50 G4V
554 BSC0554 9.417449 -82.915682 3.51 M2III
534 BSC0534 14.854757 2.915885 3.51 A5V
290 BSC0290 5.905672 31.154848 3.52 A8V
